# Bernd Westphal, Website: www.Astroprtpzessor.eu, Mail: glomph@web.de

SO KON AS; Zeit des 'Nichts machen können' ist vorbei
NE SEX VE; Wunschträume
NE TRI AS; sich neuen zuwenden
NE TRI JU; unzuverlässige Glückssträhne
NE TRI KN; spirituelle Menschen kennenlernen
NE TRI MA; Inspiration in Tun
NE TRI ME; auf Zukunft hoffen
NE TRI ME; esoterisches Interesse 
NE TRI MO; esoterisches Interesse 
NE TRI SA; Auflösung der Ordnung
NE TRI SO; etwas entschwindet
NE TRI UR; Auflösung der Freiheit
NE TRI VE; Wunschträume

PL KON AS; grundlegende Veränderungen
PL KON AS; höhere Position erreichen
PL KON AS; Keimzeit zu Ende
PL KON AS; Umzug verändert Alles
PL KON CH; Begegnung mit Pflegethemen
PL KON CH; Pflege brauchen
PL KON CH; seelisch Kranken helfen
PL KON KN; alles wird unerwünscht anders
PL KON MA;auf Leben und Tod kämpfen
PL KON MC; beruflich unter Druck
PL KON ME; Weltanschauungswandel
PL KON MO; alte emotionale Wunden
PL KON MO; häusliche Änderungen
PL KON MO; jemand geht
PL KON MO; jemand kommt
PL KON MO; jemand stirbt
PL KON MO; starken seelischen Druck erleben
PL KON SA; eigene Ordnung bricht zusammen
PL KON SO; etwas unbedingt erzwingen wollen
PL KON SO; Schicksalsdruck
PL KON SO; unter Zwang stehen
PL KON UR; Entfaltung wird eingeschränkt
PL KON VE; Liebe unter Druck 
PL OPP AS; grundlegende Veränderungen
PL OPP AS; Umzug verändert Alles
PL OPP KN; alles wird unerwünscht anders
PL OPP MA auf Leben und Tod kämpfen
PL OPP MC; beruflich unter Druck
PL OPP ME; Weltanschauungswandel
PL OPP MO; häusliche Änderungen
PL OPP MO; jemand geht
PL OPP MO; jemand kommt
PL OPP MO; jemand stirbt
PL OPP MO; starken seelischen Druck erleben
PL OPP SA; eigene Ortung bricht zusammen
PL OPP SO; etwas unbedingt erzwingen wollen
PL OPP SO; Schicksalsdruck
PL OPP SO; unter Zwang stehen
PL OPP UR; Entwicklung der eigen Entfaltung
PL OPP VE; Liebe unter Druck
PL QUA AS; grundlegende Veränderungen
PL QUA AS; Umzug verändert Alles
PL QUA KN; alles wird unerwünscht anders
PL QUA MA;auf Leben und Tod kämpfen
PL QUA MC; abgestraft werden
PL QUA MC; beruflich unter Druck
PL QUA ME; Weltanschauungswandel
PL QUA MO; häusliche Änderungen
PL QUA MO; jemand geht
PL QUA MO; jemand kommt
PL QUA MO; jemand stirbt
PL QUA MO; starken seelischen Druck erleben
PL QUA SA; eigene Ordnung bricht zusammen
PL QUA SO; etwas unbedingt erzwingen wollen
PL QUA SO; Schicksalsdruck
PL QUA SO; unter Zwang stehen
PL QUA UR; Entwicklung wird eingeschränkt
PL QUA VE; Liebe unter Druck
PL SEX AS; grundlegende Veränderungen
PL SEX AS; höhere Position erreichen
PL SEX AS; Umzug verändert Alles
PL SEX KN; alles anders machen
PL SEX MA; Wandlung de Arbeit
PL SEX MC; berufliche Entwicklung
PL SEX ME; Weltanschauungswandel
PL SEX MO; jemand geht
PL SEX MO; jemand kommt
PL SEX MO; jemand stirbt
PL SEX MO; starken seelischen Druck erleben
PL SEX SA; eigene Ordnung entfalten
PL SEX SO; Transformation
PL SEX UR; Entwicklung der eigen Entfaltung
PL SEX UR; Entwicklung der eigen Entfaltung
PL SEX VE; heftiges Wünschen
PL TRI AS; grundlegende Veränderungen
PL TRI AS; höhere Position erreichen
PL TRI AS; Umzug verändert Alles
PL TRI KN, alles anders machen
PL TRI MA; Wandlung der Arbeit
PL TRI MC; berufliche Entwicklung
PL TRI ME; Weltanschauungswandel
PL TRI MO; häusliche Änderungen
PL TRI MO; jemand geht
PL TRI MO; jemand kommt
PL TRI MO; jemand stirbt
PL TRI MO; starken seelischen Druck erleben
PL TRI SA; eigene Ordnung entfalten
PL TRI SO; Transformation
PL TRI VE; heftiges Wünschen
